JS2gene,F.halapii_gene,F.major_gene,F.muscicola_gene,F.pepsitadii_gene,F.thermalis_gene,F.welwii_gene
amiF,tcrX,czcD,purH,cysQ,truB,macB_1
ald_1,rssB_3,cbiM_2,pknD_7,tolB_1,rihA,pcyA
hisS,isiB_1,ftsP,sasA_6,entS_2,tadA,ecfA2_1
kce,isiB_2,efeU,norV_1,trxA_1,rapA,gatA_1
yjgH,hspA_1,yusV_1,fnr,baiA,cysA,IMPDH_1
allB,dnaK2_1,yfhA,exsA,COQ5_3,modB,pyrB
yfmJ,yvgN,yfiZ,birA,yfcG_2,modA,pmbA
bacC_2,dnaJ_1,mdtA_1,ribE,nemA_1,sphX,tldD_2
pepP_1,clpB1_1,macB_1,menJ,sodB,pstA,iscS_1
COQ3_4,paoB,yknY,frr,purM,pstB3,mutS
dedA,paoC,gph_1,pyrH,egtB_1,hcaB,pknD_6
nit1,pucA_1,queG,resA_1,rcsC_5,mbtH,ydbD_1
coaD,nboR,spoIIAB,menH_2,gfo,mepA,pknD_7
lgt_1,pipB2_1,rssB_1,tagU_2,merA_1,dltA,apaH_1
cbiF,hpnP_1,liaR_1,rpe,recQ_1,tam,arnC_2
rlmN,apcA_1,tagA,uvrB,recQ_2,NA,rpsB
uvrC,rcsC_1,phoD,serA_1,der_1,NA,tsf
divK_1,xamoC,bepR,prmA,ecfT_1,NA,denK
pipB2_1,merA_1,macB_2,rhaS_1,pdxJ,NA,minC
benM,gloB_1,sodB,recF_1,cpoB_3,NA,minD_1
ilvD,petC_1,purM,pacL_1,qorA,NA,minE
rimI,COQ5_2,dapH_1,fabD,cpoB_4,NA,mcrA
gdh_1,pbsA2,pdxH_1,fabH_1,katA,NA,norR
nhaP,hemF_1,bamA_1,plsX,arnT_1,NA,sasA_3
nadC,psbA1,pknD_5,lptC,bsr,NA,smpB
gpsA2,mmaA2,mutS,metG,htrA_1,NA,mprA_1
ftsH2_1,mbtH_2,amiC,rutD_1,pglF,NA,pvuIIM
gltX,yojI_3,livH_1,gltC_1,arnC_1,NA,cynS
yeeZ,menE_2,lptB_1,fetB_1,epsD_1,NA,psaB1_1
dnaJ_1,ppsD,livF_1,fetA,epsL,NA,psaA_1
aroF_1,lgrD_6,folD,ltxD,epsD_2,NA,glsA
leuA_2,lgrB_4,pdxJ,exoA,epsN,NA,resA_1
pucG,dltA_2,gsiA_2,bshA_1,gdx_1,NA,fbiC_1
pknD_7,cmlA_1,glsA1,glpK,strB1,NA,mdtB_1
bamA_1,sbnA_2,rlpA_2,rpsO,hisC_2,NA,macA_1
ycf3_1,sbnB,panC/cmk,aroF_1,mrsA,NA,cpeS2
dgcE,rcsC_2,murQ,tyrC,hdc_1,NA,dfa5_2
bchE,rssB_4,csm4,rcsC_8,cypM,NA,dfa3_2
msrB,arnC_1,csm3,bpoC,ndhI_1,NA,coaX
cpoB_3,arnC_2,ubiX,lgrE,dsbD_1,NA,argH
smc_1,tuaB_1,rnr_1,malT,prlC,NA,larB
djlA,glgA_1,clpP_1,inhA,psbM,NA,ispF
cbs,oppF,ble,mshA_1,psbK,NA,trmD
fdx4,oppD,mobA,queE,tgt,NA,cphB_1
mshA_2,dppC,ilvH,fghA,tolB_2,NA,cphA
arnC_2,dppB_1,scmP_1,glgP_1,era_1,NA,tatAy
COQ5_2,sgrR_1,bioD1,rhlE,cobS,NA,copA
hepA_1,arnC_3,pknD_6,thiL,efeU,NA,yafJ
rfbC,btuB_2,prs,gap2,ftsP,NA,ilvD
hldD,tycC_3,typA,nadD_1,yccU,NA,pipB2_1
lhgD,lgrB_5,ftrC,murC,mdtG,NA,divK
rfbF,asnB_1,lptA,murB,thcB,NA,uvrC
cpoB_4,lgrD_7,lptB_2,speB,yjhB,NA,rlmN
pphC,dltA_3,fda,fabG_1,bioI,NA,cbiF
rcsC_6,dltA_4,lacX,tagO,sspA,NA,lgt_1
pheT,xerC_8,acoA,groL2,dntB,NA,coaD
dpnM_1,aroF_3,lutA,corA,rebD,NA,nit1
trpF_1,lnrJ,tri1,fbp,rebO,NA,ftsH2_1
bcpA,lnrK_2,iscS_1,tal_2,trpD2_1,NA,cpoB_2
