hldD,tycC_3,typA,nadD_1,yccU,gph_1,pipB2_1,trmL
lhgD,lgrB_5,ftrC,murC,mdtG,tolB_2,divK,mnaA
rfbF,asnB_1,lptA,murB,thcB,livF_2,uvrC,yggS
cpoB_4,lgrD_7,lptB_2,speB,yjhB,lptB_2,rlmN,sepF
pphC,dltA_3,fda,fabG_1,bioI,livH_2,cbiF,proC
rcsC_6,dltA_4,lacX,tagO,sspA,pipB2_1,lgt_1,hisA
pheT,xerC_8,acoA,groL2,dntB,rocA,coaD,rsmG
dpnM_1,aroF_3,lutA,corA,rebD,rcsC_9,nit1,lexA
trpF_1,lnrJ,tri1,fbp,rebO,btuF_1,ftsH2_1,ndk
bcpA,lnrK_2,iscS_1,tal_2,trpD2_1,prtS,cpoB_2,tatA
sasA_4,avtA_1,sasA_7,zwf2,trpB_1,ntcA,pyrG,ycf3_1
murE,speG,haeIIIM,cbiA,trpA_1,fabI,larC,serS
rnd_1,btuD_2,mntA_1,infC_1,trpC_1,hisB,yciO,rcsC_6
glpE_1,czcR,mntB_2,cas4,menF_1,ilvA,rbfA,trxB_1
pdxA2,rcsC_3,mntB_3,cas1_2,aroF_2,hemF_1,mamM,purM
petM,mshA_1,arnC_1,cas2_2,rssB_1,cpcT2,saeR,tolB_2
nadK_1,btuD_3,pimB_1,rpsU1_1,pkwA_1,thf1,cph1_1,ligA
mprA_1,ltxD_1,yhdW,rcsC_9,msrQ_1,psbC_1,rcp1_2,pepN
sasA_5,cysL,yhdY,rcsC_10,ruvC,mnmC_1,rcsC_12,aroG
rpmI,cysK1_1,glnQ_1,rcsC_11,tsaE,phoR,guaA,ctaD_1
rplT,cymR_1,yhgF,rcp1_2,pyrC_1,dauA,menG,hcaB
glnH,bacA,rip3_1,sasA_7,sipT,cusR_1,rssB_1,devR
pbpE_1,hemL_1,yqeN,liaR_1,rssB_2,rssB_2,qmcA_1,clpS_1
chlB,menE_3,fmt,mrgA,rssB_3,hemE_1,ureC,cobU
cobN_1,dltA_5,yciH,sasA_8,rcsC_6,mdtC_1,pknD_8,ndhC
pgk,lgrD_8,trpB_1,nhaP2_1,hisC_3,mdtA_1,ilvE_1,ndhK1_1
pal_2,tycC_4,kmo_1,petB_1,dpnM_1,pknD_7,lip1,ndhJ_1
